control,is_ditch,ratio,measured,predicted,dz,rise_before,horiz_near,have_prev
0,1,4.557065240019283,4.104667607809078,0.9007261014748407,-0.9664553717120723,0.0016051313501963536,4.914867535890752,1.0
0,1,4.335681790195487,3.911400496106899,0.9021419664496508,-0.9077300771901868,-0.0005320357378309132,4.922593290466426,1.0
0,1,4.13138771078941,3.73319144936609,0.903616825798411,-0.853529188719798,-0.0026175539262655017,4.930640951482753,1.0
0,1,3.940745304841023,3.567433254100835,0.9052686682690223,-0.8030306606010793,-0.004980385410998332,4.939654331821036,1.0
0,1,3.7646302595677037,3.41444248975834,0.9069795051135842,-0.7563655784876566,-0.007100370826876646,4.948989618599976,1.0
0,1,3.6026347332683044,3.2738919229045305,0.9087493363320963,-0.7134352338015058,-0.007887195990950516,4.958646811819566,1.0
0,1,5.501749517942616,3.767983185659549,0.6848699987833305,-1.1004464906889242,0.0,4.2671234794812065,0.0
0,1,5.321763690714979,3.6522684315242504,0.6862891033467832,-1.0586382481973484,0.0,4.275965295319694,0.0
0,1,5.157031334301181,3.5465327770491957,0.6877082079102355,-1.0203918162964765,0.0,4.284807111158181,0.0
0,1,5.005589727810241,3.4494885964717703,0.6891273124736879,-0.9852476065229903,0.0,4.293648926996668,0.0
0,1,4.868637713856288,3.3617735753697273,0.6904957347313027,-0.9534513159940168,0.0,4.302174963698064,0.0
0,1,4.743859299733281,3.2821062152840037,0.6918641569889176,-0.9245274533607704,0.0,4.310701000399463,0.0
0,1,4.631182394376286,3.2104865162146057,0.6932325792465327,-0.8984760186232528,0.0,4.3192270371008625,0.0
0,1,4.529608593231267,3.1462706652802312,0.6946010015041476,-0.8750672175498044,0.0,4.327753073802261,0.0
0,1,4.439849450172703,3.0897744416179664,0.6959187414559246,-0.8544318501417243,0.0,4.335963331366568,0.0
0,1,4.361818397829258,3.040997845227806,0.6971857991018646,-0.8365699163990079,0.0,4.343857809793791,0.0
0,1,4.293749041353303,2.9989812840913608,0.6984528567478043,-0.8211208220887043,0.0,4.351752288221012,0.0
0,1,4.235587264622138,2.9637247582086346,0.6997199143937439,-0.8080845672108137,0.0,4.35964676664823,0.0
0,1,4.188032621097941,2.9355440467167053,0.7009362897338461,-0.7975919517666294,0.0,4.367225465938364,0.0
0,1,4.150561192956213,2.914117243174932,0.7021019827681105,-0.7895280786403254,0.0,4.3744883860914054,0.0
0,1,4.122368577709094,2.8991285684462165,0.7032676758023749,-0.7837621478306034,0.0,4.381751306244447,0.0
0,1,6.537248775766752,4.766741724829998,0.7291663340853827,-1.4411198682389645,0.0,4.543114445296833,0.0
0,1,6.513455004449831,4.744110237127256,0.7283554171919814,-1.4333315162984062,0.0,4.538061979103414,0.0
0,1,6.306419842726007,4.587881449249933,0.7274938179927424,-1.37787676417423,0.0,4.532693733772904,0.0
0,1,3.9337943554769623,3.795997373500854,0.964970974706836,-0.8539671105617666,-0.006416996428702164,5.265423649761924,1.0
0,1,3.807908037162839,3.6675567305429118,0.9631421491143733,-0.8157751926465433,-0.005339315394728082,5.2554445501016795,1.0
0,1,4.569277132460234,4.064720027394154,0.8895761647982136,-0.957768684571092,0.0057946597191673825,4.854027218607326,1.0
0,1,4.721011601619252,4.202206012650977,0.8901071141637671,-0.9990805905027258,0.0064115557446870934,4.856924376573203,1.0
0,1,4.885524244073793,4.351810288955829,0.8907560522772217,-1.0440123367458003,0.007077521070224909,4.860465347420386,1.0
0,1,5.064886269833819,4.515163696485702,0.8914639847646267,-1.0930736547282565,0.00776863456285376,4.864328224708224,1.0
0,1,7.367245840000688,4.976902072218543,0.6755444545092143,-1.5352708800166197,0.0,4.2090201182568645,0.0
0,1,6.821192309007912,4.613895771322493,0.6764060537084532,-1.4053965843084222,0.0,4.214388363587375,0.0
0,1,3.623637637099851,3.213668057073849,0.8868624235964946,-0.7018710544366318,0.005894494943280184,4.839219522337285,1.0
0,1,5.7168548350440265,3.836492163152446,0.6710844115955064,-1.1298196467868435,0.0,4.181231554193047,0.0
0,1,4.6290869564772,3.4058740303309483,0.7357550338442694,-0.9530376931709981,0.0,4.584165733118382,0.0
0,1,5.928277992487515,3.8933451084426194,0.6567413190434691,-1.1552314384550564,0.0,4.0918660583969135,0.0
0,1,3.7420440353468054,3.2630468370121184,0.8719958413609917,-0.721250395556835,0.0010160011916303807,4.758099099292719,1.0
0,1,3.6898062162600267,3.5218092512084462,0.9544699761436628,-0.7744270076367912,0.00628070955534072,5.208124303325678,1.0
0,1,3.8394282820724404,3.6544263107427115,0.9518152293158947,-0.8152311745172791,0.007716261600072278,5.1936385134962935,1.0
